,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6075268226846385,2023-08-23 23:13:36.189662,2023-08-23 23:13:39.912496,0 days 00:00:03.722834,0.9,2,1.0,2.390644918039212e-07,0.0001835228787022107,20,149,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6075234664968052,2023-08-23 23:13:36.192019,2023-08-23 23:13:39.454966,0 days 00:00:03.262947,0.8,2,1.0,1.6596888618015212e-05,4.861577767448672e-05,90,247,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6361503508665703,2023-08-23 23:13:36.194058,2023-08-23 23:13:36.609686,0 days 00:00:00.415628,0.6000000000000001,2,0.4,0.919423981881616,2.0248887642684212e-05,50,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6059752358563903,2023-08-23 23:13:36.194822,2023-08-23 23:13:38.615085,0 days 00:00:02.420263,0.4,3,0.9,7.41391066797961e-06,0.011159593198817184,60,244,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6006140290774549,2023-08-23 23:13:36.199570,2023-08-23 23:13:41.481230,0 days 00:00:05.281660,0.8,2,1.0,0.5405591844994625,1.2290575651291667e-06,40,206,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6225000352246286,2023-08-23 23:13:36.203172,2023-08-23 23:13:38.901228,0 days 00:00:02.698056,0.5,3,0.4,0.693470033452072,2.347432503379711e-08,60,226,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6062645821265074,2023-08-23 23:13:36.212649,2023-08-23 23:13:39.829485,0 days 00:00:03.616836,0.8,2,1.0,0.27093355325427665,5.913900907250623e-06,90,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6016054628649256,2023-08-23 23:13:36.225304,2023-08-23 23:13:40.201827,0 days 00:00:03.976523,0.9,1,0.6000000000000001,1.291427641723989e-08,0.0035371513763791844,90,245,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.609413623508503,2023-08-23 23:13:36.662530,2023-08-23 23:13:41.423069,0 days 00:00:04.760539,0.9,2,0.9,1.7915599894638123e-06,0.012347776153028784,60,204,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.600915449947848,2023-08-23 23:13:38.657065,2023-08-23 23:13:41.363429,0 days 00:00:02.706364,0.4,1,1.0,0.00023459834789978668,1.594880833389435e-08,10,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6078547519212442,2023-08-23 23:13:38.946527,2023-08-23 23:13:42.448453,0 days 00:00:03.501926,1.0,3,0.5,2.7437062439592557e-07,0.00014821537960439795,40,145,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6028602667866931,2023-08-23 23:13:39.496788,2023-08-23 23:13:43.476842,0 days 00:00:03.980054,0.7000000000000001,2,0.9,0.0020735272556868323,0.08501127516208871,50,166,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6186905562209216,2023-08-23 23:13:39.877406,2023-08-23 23:13:40.821265,0 days 00:00:00.943859,1.0,3,0.8,2.2700309266615633e-06,0.0014426240319850175,10,23,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6009961104738909,2023-08-23 23:13:39.957272,2023-08-23 23:13:44.208241,0 days 00:00:04.250969,0.9,1,0.8,1.24359737870305e-05,0.00041176150339398553,20,169,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6137735137875355,2023-08-23 23:13:40.265263,2023-08-23 23:13:43.528881,0 days 00:00:03.263618,0.4,2,0.4,5.343073284704202e-08,7.55487756119461e-07,40,126,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6243747701316122,2023-08-23 23:13:40.864824,2023-08-23 23:13:41.987745,0 days 00:00:01.122921,0.4,2,0.6000000000000001,0.002015250963219621,4.9891393696822e-07,30,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5972261740948916,2023-08-23 23:13:41.415371,2023-08-23 23:13:47.640415,0 days 00:00:06.225044,0.4,1,0.6000000000000001,0.02823186212590554,0.00024315447643664823,20,254,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6342361475950413,2023-08-23 23:13:41.469188,2023-08-23 23:13:42.038060,0 days 00:00:00.568872,0.6000000000000001,1,0.4,0.010149726268005472,0.6226152525492444,40,8,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6225017959618285,2023-08-23 23:13:41.546918,2023-08-23 23:13:43.929128,0 days 00:00:02.382210,0.6000000000000001,3,0.4,0.03441013823358756,0.8648130968311163,40,92,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6421357363632406,2023-08-23 23:13:42.033404,2023-08-23 23:13:42.446150,0 days 00:00:00.412746,0.6000000000000001,1,0.4,0.0026478491292758416,0.36295939417733897,40,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.623753080647147,2023-08-23 23:13:42.105275,2023-08-23 23:13:44.533308,0 days 00:00:02.428033,0.6000000000000001,1,0.4,0.017679464388776937,0.8306395749615502,40,86,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6187611036014173,2023-08-23 23:13:42.544014,2023-08-23 23:13:44.967088,0 days 00:00:02.423074,0.6000000000000001,1,0.5,0.04372295139875979,0.6045991203394873,70,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.609089937362379,2023-08-23 23:13:42.555391,2023-08-23 23:13:44.609119,0 days 00:00:02.053728,0.6000000000000001,1,0.5,0.023602116037809494,0.9797156189792653,70,76,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6196954267368372,2023-08-23 23:13:43.525843,2023-08-23 23:13:45.871317,0 days 00:00:02.345474,0.6000000000000001,1,0.5,0.057790077492770056,0.8627169663163029,70,65,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6162655188782147,2023-08-23 23:13:43.594056,2023-08-23 23:13:46.064356,0 days 00:00:02.470300,0.6000000000000001,1,0.5,0.033279370151224744,0.4533535226671494,70,78,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.6144005595438995,2023-08-23 23:13:43.973636,2023-08-23 23:13:45.675562,0 days 00:00:01.701926,0.6000000000000001,1,0.6000000000000001,0.06491930496152305,0.0007435663233176596,70,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.6218783472350933,2023-08-23 23:13:44.253886,2023-08-23 23:13:46.304632,0 days 00:00:02.050746,0.6000000000000001,1,0.5,0.09135517071844759,2.6481180646515443e-05,70,57,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.6243765221042354,2023-08-23 23:13:44.577969,2023-08-23 23:13:46.753088,0 days 00:00:02.175119,0.5,1,0.5,0.09008131063232225,3.5226549500034794e-05,70,55,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.6414976481421664,2023-08-23 23:13:44.655044,2023-08-23 23:13:45.054619,0 days 00:00:00.399575,0.5,1,0.5,0.10259039629664714,0.12528104638817128,70,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.6387030370415503,2023-08-23 23:13:45.013700,2023-08-23 23:13:45.399191,0 days 00:00:00.385491,0.5,1,0.6000000000000001,0.0018689492466898712,0.16057986018939446,50,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.6206252565961923,2023-08-23 23:13:45.116715,2023-08-23 23:13:46.675083,0 days 00:00:01.558368,0.5,1,0.6000000000000001,0.14424896178555244,0.07051095133471305,80,43,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.6290453041414166,2023-08-23 23:13:45.443272,2023-08-23 23:13:47.428956,0 days 00:00:01.985684,0.5,1,0.6000000000000001,0.0002550008114882656,0.11487412610393112,80,50,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.6224709806892956,2023-08-23 23:13:45.720641,2023-08-23 23:13:47.496548,0 days 00:00:01.775907,0.5,1,0.7000000000000001,0.00025216400350454337,0.09567853679419587,80,45,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.6227804210591784,2023-08-23 23:13:45.916123,2023-08-23 23:13:47.902707,0 days 00:00:01.986584,0.5,1,0.7000000000000001,0.0003489124380517606,0.12675618827451932,80,45,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.6165740032463292,2023-08-23 23:13:46.106660,2023-08-23 23:13:47.838965,0 days 00:00:01.732305,0.5,1,0.7000000000000001,0.0003761361398902718,0.11177622226910525,100,39,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.622194366870529,2023-08-23 23:13:46.346794,2023-08-23 23:13:47.983456,0 days 00:00:01.636662,0.5,1,0.7000000000000001,0.0029394906455282037,0.14832626015263772,100,36,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.6393206121817343,2023-08-23 23:13:46.737581,2023-08-23 23:13:47.141313,0 days 00:00:00.403732,0.5,1,0.7000000000000001,0.0037470126989215397,0.07106931029830048,30,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.6178124495907987,2023-08-23 23:13:46.802311,2023-08-23 23:13:48.145331,0 days 00:00:01.343020,0.5,1,0.7000000000000001,0.004503401245856127,0.12539906292855874,30,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.6393206121817343,2023-08-23 23:13:47.183235,2023-08-23 23:13:47.721449,0 days 00:00:00.538214,0.5,1,0.7000000000000001,0.00277956248131069,0.09080031513170338,30,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.6430769912458072,2023-08-23 23:13:47.472327,2023-08-23 23:13:48.273665,0 days 00:00:00.801338,0.7000000000000001,1,0.7000000000000001,0.004087059421251496,0.030941679404986332,30,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.6334073396891733,2023-08-23 23:13:47.549580,2023-08-23 23:13:48.396057,0 days 00:00:00.846477,0.7000000000000001,1,0.7000000000000001,0.004994548239415463,0.02341084509535151,30,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
