,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6913447342519685,2023-08-24 12:34:24.526188,2023-08-24 12:34:25.495629,0 days 00:00:00.969441,0.8,3,0.6000000000000001,0.000488313198692963,0.0002033241726041121,100,21,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7028345632261823,2023-08-24 12:34:24.527562,2023-08-24 12:34:24.974092,0 days 00:00:00.446530,0.5,3,0.8,4.27161316480915e-07,1.2607510678553998e-07,20,8,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6816023905316995,2023-08-24 12:34:24.529095,2023-08-24 12:34:25.731871,0 days 00:00:01.202776,0.5,2,0.5,0.08568393210719591,0.0045456263667867265,100,233,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6936557080362575,2023-08-24 12:34:24.529900,2023-08-24 12:34:26.171167,0 days 00:00:01.641267,0.5,2,0.9,0.1949412171597378,0.003200176081211966,80,178,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6884499026662763,2023-08-24 12:34:24.530948,2023-08-24 12:34:25.183191,0 days 00:00:00.652243,0.5,1,0.7000000000000001,1.2890514658749213e-07,1.040355378255973e-05,30,10,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6769958549701836,2023-08-24 12:34:24.531757,2023-08-24 12:34:25.782132,0 days 00:00:01.250375,0.4,3,0.6000000000000001,0.002050482866744351,0.0007558635412067438,70,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6965686507330335,2023-08-24 12:34:24.532664,2023-08-24 12:34:26.393393,0 days 00:00:01.860729,0.5,1,0.6000000000000001,6.206320657890223e-07,0.027849709283025274,60,133,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6915736366849834,2023-08-24 12:34:24.533450,2023-08-24 12:34:24.766939,0 days 00:00:00.233489,0.4,1,1.0,0.0005049884141993177,0.0005392401627828867,40,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6878156092195391,2023-08-24 12:34:24.809132,2023-08-24 12:34:27.327982,0 days 00:00:02.518850,0.7000000000000001,2,0.8,8.110990426599228e-06,5.04763193447692e-06,80,157,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6843970136480626,2023-08-24 12:34:25.016243,2023-08-24 12:34:26.898806,0 days 00:00:01.882563,0.5,2,0.6000000000000001,0.0011262488801680537,2.0615522559372711e-07,70,127,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.7009491292904458,2023-08-24 12:34:25.225451,2023-08-24 12:34:29.727493,0 days 00:00:04.502042,1.0,2,0.9,0.08721547878078657,1.9621437434657585e-08,10,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6838682835878391,2023-08-24 12:34:25.540183,2023-08-24 12:34:26.988586,0 days 00:00:01.448403,0.4,3,0.8,5.757069401754005e-07,0.0003592612242530002,70,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6917828190771262,2023-08-24 12:34:25.775515,2023-08-24 12:34:27.132117,0 days 00:00:01.356602,0.4,3,1.0,0.00317671487654348,0.4585497769213422,70,23,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6645329649243994,2023-08-24 12:34:25.831823,2023-08-24 12:34:28.744276,0 days 00:00:02.912453,0.5,3,1.0,0.00026409908210451937,5.117321173094581e-08,30,240,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6782482673810657,2023-08-24 12:34:26.225075,2023-08-24 12:34:27.225423,0 days 00:00:01.000348,0.4,3,0.7000000000000001,4.602978914538124e-08,2.203922462647202e-06,90,229,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6832190723241307,2023-08-24 12:34:26.437277,2023-08-24 12:34:29.613495,0 days 00:00:03.176218,0.8,2,1.0,0.004309327917181263,1.6509926550469875e-07,50,186,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6752979976564077,2023-08-24 12:34:26.940542,2023-08-24 12:34:28.183574,0 days 00:00:01.243032,0.6000000000000001,3,0.8,2.8744182699902565e-06,3.7210392257722095e-08,100,190,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6640560429319708,2023-08-24 12:34:27.035087,2023-08-24 12:34:29.825724,0 days 00:00:02.790637,1.0,3,0.4,2.6331339453041066e-08,2.060402320966306e-08,10,65,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6748396005373913,2023-08-24 12:34:27.177697,2023-08-24 12:34:32.158531,0 days 00:00:04.980834,0.7000000000000001,1,0.4,3.0235288276846504e-06,3.717364956646128e-08,10,169,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6695190881481567,2023-08-24 12:34:27.277298,2023-08-24 12:34:29.508904,0 days 00:00:02.231606,0.7000000000000001,1,0.4,4.1075138919110235e-06,2.7865047373990672e-08,10,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6848381689232753,2023-08-24 12:34:27.389496,2023-08-24 12:34:29.438997,0 days 00:00:02.049501,1.0,1,0.4,1.3865653391494666e-08,2.2368110118315866e-08,10,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6855145862927964,2023-08-24 12:34:28.231131,2023-08-24 12:34:31.104420,0 days 00:00:02.873289,0.9,1,0.4,1.1414352985566068e-08,1.1066306125411271e-08,10,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6855145862927964,2023-08-24 12:34:28.808892,2023-08-24 12:34:32.440790,0 days 00:00:03.631898,0.9,1,0.4,2.1250596368746314e-08,1.0534096299342229e-08,10,69,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.7061121302909213,2023-08-24 12:34:29.493716,2023-08-24 12:34:31.059362,0 days 00:00:01.565646,0.7000000000000001,1,0.4,1.0486935280740785e-05,0.13918008730245404,50,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6990754809301847,2023-08-24 12:34:29.560038,2023-08-24 12:34:31.547564,0 days 00:00:01.987526,0.6000000000000001,2,0.5,4.065230337246485e-05,0.14798556558962395,50,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.6861176476609815,2023-08-24 12:34:29.674111,2023-08-24 12:34:31.250110,0 days 00:00:01.575999,0.6000000000000001,1,0.5,2.9866886302125267e-05,3.696124559568452e-05,30,42,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.6861176476609815,2023-08-24 12:34:29.782711,2023-08-24 12:34:32.088661,0 days 00:00:02.305950,0.9,2,0.9,6.235418007586369e-05,1.1118288419755849e-08,20,63,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.6840776101016321,2023-08-24 12:34:29.884481,2023-08-24 12:34:32.583733,0 days 00:00:02.699252,0.9,2,0.9,4.174587282578515e-05,6.496932213941084e-07,20,48,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.677829862445247,2023-08-24 12:34:31.105414,2023-08-24 12:34:32.983520,0 days 00:00:01.878106,0.8,2,0.9,2.210204692730827e-05,3.8387402413470285e-07,30,42,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.6947389927469609,2023-08-24 12:34:31.191606,2023-08-24 12:34:33.258390,0 days 00:00:02.066784,0.8,2,0.9,4.2879361671076606e-05,4.615274125311701e-05,30,44,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.6840257041465521,2023-08-24 12:34:31.308589,2023-08-24 12:34:33.492604,0 days 00:00:02.184015,0.9,2,0.9,0.7925643607030093,5.213821718260972e-07,20,46,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.6840314139497619,2023-08-24 12:34:31.593087,2023-08-24 12:34:34.957901,0 days 00:00:03.364814,0.9,2,0.9,0.03163431370139761,8.380280348742316e-07,20,101,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.6892543354081816,2023-08-24 12:34:32.137950,2023-08-24 12:34:36.045504,0 days 00:00:03.907554,0.8,2,0.9,0.03634327303061356,9.326177554114903e-07,20,105,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.6776990894637953,2023-08-24 12:34:32.204503,2023-08-24 12:34:35.477285,0 days 00:00:03.272782,0.9,2,0.9,0.041996074685286794,9.038968014988672e-07,20,95,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.6964822063601708,2023-08-24 12:34:32.486416,2023-08-24 12:34:36.730090,0 days 00:00:04.243674,0.8,2,0.8,0.05845609014948953,5.637396599743054e-07,20,107,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.6788715432363699,2023-08-24 12:34:32.644239,2023-08-24 12:34:35.601495,0 days 00:00:02.957256,0.8,2,0.8,0.011367720814633818,9.532309682753217e-07,40,95,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.6904931096779481,2023-08-24 12:34:33.029816,2023-08-24 12:34:36.586372,0 days 00:00:03.556556,0.8,2,0.8,0.02441644791089503,2.081453840826488e-05,40,92,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.6805383153000617,2023-08-24 12:34:33.305450,2023-08-24 12:34:36.360491,0 days 00:00:03.055041,0.6000000000000001,3,0.8,0.00021447953368668851,9.200459280420234e-07,40,97,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.6794990247407864,2023-08-24 12:34:33.541091,2023-08-24 12:34:35.663182,0 days 00:00:02.122091,0.6000000000000001,2,0.5,0.0002627136361968716,0.4649735254641032,50,100,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.6902996021959298,2023-08-24 12:34:35.006619,2023-08-24 12:34:35.970326,0 days 00:00:00.963707,0.6000000000000001,2,0.5,1.0455129644304245e-05,0.5764576157213626,50,19,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.6953223312839321,2023-08-24 12:34:35.542447,2023-08-24 12:34:36.897287,0 days 00:00:01.354840,0.6000000000000001,2,0.5,0.00029451047156388733,0.9783538081089369,50,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
41,41,0.6844857283464567,2023-08-24 12:34:35.659777,2023-08-24 12:34:37.156314,0 days 00:00:01.496537,0.6000000000000001,3,0.5,0.00019022058891536442,0.209107373439914,50,21,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
42,42,0.6875898122633978,2023-08-24 12:34:35.716243,2023-08-24 12:34:37.054179,0 days 00:00:01.337936,0.6000000000000001,3,0.5,0.00017861975481221556,0.09293659152287843,40,21,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
43,43,0.6827896743162689,2023-08-24 12:34:36.021699,2023-08-24 12:34:37.945639,0 days 00:00:01.923940,0.6000000000000001,3,0.7000000000000001,0.00011421046702182725,0.040753511112213925,40,28,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
44,44,0.680312928792316,2023-08-24 12:34:36.089376,2023-08-24 12:34:37.399172,0 days 00:00:01.309796,0.5,3,0.7000000000000001,0.00017846895984508122,0.01986363255552558,60,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
45,45,0.6776267224409449,2023-08-24 12:34:36.417692,2023-08-24 12:34:37.677452,0 days 00:00:01.259760,0.5,3,0.7000000000000001,0.00010041437326173512,0.02006708354760215,60,24,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
46,46,0.6807481383132252,2023-08-24 12:34:36.644964,2023-08-24 12:34:38.345509,0 days 00:00:01.700545,0.5,3,0.7000000000000001,0.0008313618966500449,0.02081218213260723,60,26,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
47,47,0.6778148398084771,2023-08-24 12:34:36.774755,2023-08-24 12:34:38.144545,0 days 00:00:01.369790,0.5,3,0.7000000000000001,8.304874160093934e-07,0.012471707342114991,60,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
48,48,0.6774200167224937,2023-08-24 12:34:36.942323,2023-08-24 12:34:38.560000,0 days 00:00:01.617677,0.5,1,0.6000000000000001,4.455325454132336e-07,0.07612986498798677,80,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
49,49,0.6819595955695428,2023-08-24 12:34:37.095360,2023-08-24 12:34:39.057699,0 days 00:00:01.962339,0.5,1,0.6000000000000001,7.15596076028733e-07,0.025238380895136768,60,131,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
50,50,0.6809235583554649,2023-08-24 12:34:37.200885,2023-08-24 12:34:39.305376,0 days 00:00:02.104491,0.5,1,0.6000000000000001,7.860300365452945e-07,0.03210993780796504,60,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
51,51,0.683640558600707,2023-08-24 12:34:37.441516,2023-08-24 12:34:39.234499,0 days 00:00:01.792983,0.5,1,0.6000000000000001,8.965967691854803e-07,0.00443911974203701,60,129,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
52,52,0.6954327184372903,2023-08-24 12:34:37.735002,2023-08-24 12:34:39.747830,0 days 00:00:02.012828,0.5,1,0.6000000000000001,4.18337610936962e-07,0.0018747580685601506,60,161,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
53,53,0.683640558600707,2023-08-24 12:34:37.988616,2023-08-24 12:34:39.677782,0 days 00:00:01.689166,0.5,1,0.6000000000000001,6.370161188812775e-07,0.004583999809656423,60,139,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
54,54,0.6807481383132252,2023-08-24 12:34:38.189147,2023-08-24 12:34:39.620975,0 days 00:00:01.431828,0.5,1,0.6000000000000001,9.381878590017668e-07,0.002772910221166621,80,131,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
55,55,0.688773182318366,2023-08-24 12:34:38.391991,2023-08-24 12:34:39.845490,0 days 00:00:01.453499,0.4,1,0.6000000000000001,2.4107670058977875e-07,0.0026582046128951985,80,139,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
56,56,0.690530612244898,2023-08-24 12:34:38.602709,2023-08-24 12:34:40.493898,0 days 00:00:01.891189,0.7000000000000001,1,0.6000000000000001,9.926078822523706e-08,0.0024046384369651283,80,127,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
