,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6613305645523717,2023-08-24 13:21:43.032126,2023-08-24 13:21:47.672297,0 days 00:00:04.640171,0.5,3,0.5,0.0014656135623362942,0.001486440381584705,20,106,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.677829862445247,2023-08-24 13:21:43.034968,2023-08-24 13:21:47.152196,0 days 00:00:04.117228,1.0,3,0.8,0.6684565376588808,1.4762536118466943e-05,70,250,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6842834206220152,2023-08-24 13:21:43.038351,2023-08-24 13:21:48.246036,0 days 00:00:05.207685,0.7000000000000001,2,1.0,5.494677255801267e-05,2.678498714151323e-05,50,148,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6994655190896979,2023-08-24 13:21:43.041985,2023-08-24 13:21:44.248910,0 days 00:00:01.206925,0.6000000000000001,2,0.7000000000000001,9.727198975165725e-07,0.00019503895092114797,10,15,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6832190723241307,2023-08-24 13:21:43.043141,2023-08-24 13:21:47.094240,0 days 00:00:04.051099,0.8,1,0.5,7.745176881851165e-07,3.676496790909312e-06,50,172,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6884499026662763,2023-08-24 13:21:43.059988,2023-08-24 13:21:46.384855,0 days 00:00:03.324867,0.7000000000000001,2,0.7000000000000001,0.0003754233196054045,0.00022994248232520982,70,104,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6824011054339794,2023-08-24 13:21:43.065749,2023-08-24 13:21:45.891526,0 days 00:00:02.825777,0.8,3,0.4,0.005013853577315383,0.059680886551613,80,148,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6676512727538113,2023-08-24 13:21:43.080263,2023-08-24 13:21:45.434390,0 days 00:00:02.354127,0.5,3,0.8,0.020001258112474277,2.0756158994366065e-08,70,234,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6801079726212282,2023-08-24 13:21:44.299090,2023-08-24 13:21:47.233666,0 days 00:00:02.934576,0.7000000000000001,1,1.0,0.0006635596797762659,5.127956393576992e-06,80,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6759353711812977,2023-08-24 13:21:45.488934,2023-08-24 13:21:45.763708,0 days 00:00:00.274774,0.6000000000000001,1,0.5,3.164209174815644e-07,0.4264370496043572,60,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6821993930446195,2023-08-24 13:21:45.812370,2023-08-24 13:21:53.805360,0 days 00:00:07.992990,0.9,2,0.9,0.14068067417680366,6.092815816065507e-05,50,244,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6788715432363699,2023-08-24 13:21:45.945329,2023-08-24 13:21:47.509470,0 days 00:00:01.564141,0.6000000000000001,3,0.4,3.110864407959212e-08,1.380102215337946e-07,100,112,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6656477871250208,2023-08-24 13:21:46.434340,2023-08-24 13:21:48.619685,0 days 00:00:02.185345,0.5,1,0.5,3.153000187745367e-06,5.436133066788095e-06,80,201,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.666815053598383,2023-08-24 13:21:47.144617,2023-08-24 13:21:50.391719,0 days 00:00:03.247102,0.7000000000000001,1,0.7000000000000001,6.094358470813646e-07,1.3117397626737297e-06,40,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6859247422931207,2023-08-24 13:21:47.206381,2023-08-24 13:21:49.478836,0 days 00:00:02.272455,0.4,3,0.9,4.255660306242438e-08,0.004809345282783657,70,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.676585931444458,2023-08-24 13:21:47.299373,2023-08-24 13:21:50.501241,0 days 00:00:03.201868,0.4,2,0.6000000000000001,1.4615292545771976e-08,0.010265402661849093,40,95,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6867720636482939,2023-08-24 13:21:47.556518,2023-08-24 13:21:55.366524,0 days 00:00:07.810006,0.9,1,0.9,7.717765590677897e-05,0.005796893855346771,20,112,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6803784676396141,2023-08-24 13:21:47.731220,2023-08-24 13:21:52.174165,0 days 00:00:04.442945,0.4,2,1.0,1.6040486791592854e-05,0.004749856187169616,10,56,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.67655726828064,2023-08-24 13:21:48.297689,2023-08-24 13:21:52.292888,0 days 00:00:03.995199,0.4,2,0.7000000000000001,1.6663381896305862e-05,0.0008463888771147887,10,62,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6755449678526602,2023-08-24 13:21:48.668827,2023-08-24 13:21:53.376211,0 days 00:00:04.707384,0.9,2,0.7000000000000001,2.4345403382127073e-05,0.0007920816148966673,10,65,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6903207887793362,2023-08-24 13:21:49.528096,2023-08-24 13:21:54.149904,0 days 00:00:04.621808,0.9,2,0.7000000000000001,1.973805873320689e-05,0.00031753771736893835,10,66,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6892805038722324,2023-08-24 13:21:50.448262,2023-08-24 13:21:55.573589,0 days 00:00:05.125327,0.9,2,0.7000000000000001,2.5214114528806174e-05,0.0002892099714288655,20,76,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6865522367887552,2023-08-24 13:21:50.588365,2023-08-24 13:21:55.093487,0 days 00:00:04.505122,0.9,2,0.7000000000000001,1.786526998161345e-05,0.00040790251794346386,20,67,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.7013450326155979,2023-08-24 13:21:52.229818,2023-08-24 13:21:53.204223,0 days 00:00:00.974405,0.9,2,0.7000000000000001,1.8174549030558026e-05,0.0004247845458218104,30,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6803003895903932,2023-08-24 13:21:52.340166,2023-08-24 13:21:52.728197,0 days 00:00:00.388031,0.9,2,0.8,0.00036259457860413844,0.00017129837064908994,30,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.68963594033822,2023-08-24 13:21:52.784474,2023-08-24 13:21:54.915342,0 days 00:00:02.130868,0.6000000000000001,2,0.6000000000000001,5.9807909231471396e-06,0.00013733318027696426,30,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.6857329486131041,2023-08-24 13:21:53.256939,2023-08-24 13:21:55.483406,0 days 00:00:02.226467,1.0,2,0.6000000000000001,6.891235339987968e-06,8.642992242828458e-05,20,26,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.6819956193221748,2023-08-24 13:21:53.433676,2023-08-24 13:21:55.686053,0 days 00:00:02.252377,0.9,2,0.6000000000000001,3.7044617450808026e-06,5.073739749386928e-05,30,26,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.6896985069760457,2023-08-24 13:21:53.848970,2023-08-24 13:21:56.713174,0 days 00:00:02.864204,0.6000000000000001,2,0.6000000000000001,0.00014886806209636245,0.00020820384103870408,30,31,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.6857329486131041,2023-08-24 13:21:54.198169,2023-08-24 13:21:56.797313,0 days 00:00:02.599144,1.0,2,0.6000000000000001,6.353015867419077e-06,0.0001492850627946057,20,26,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.6865522367887552,2023-08-24 13:21:54.964223,2023-08-24 13:21:57.119638,0 days 00:00:02.155415,1.0,2,0.6000000000000001,0.0001040283239567757,5.320365177548108e-05,20,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
