,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5962700653715791,2023-08-24 13:25:44.038103,2023-08-24 13:25:45.685938,0 days 00:00:01.647835,1.0,3,0.6000000000000001,0.4965384206381457,0.0029397668393505356,50,57,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5750949797260401,2023-08-24 13:25:44.040656,2023-08-24 13:25:47.729622,0 days 00:00:03.688966,0.9,3,0.7000000000000001,0.04958925546876137,6.045756895309112e-06,40,146,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6297064568560419,2023-08-24 13:25:44.044267,2023-08-24 13:25:44.417768,0 days 00:00:00.373501,0.4,1,0.7000000000000001,5.7623729399519245e-05,0.0004537058549406474,90,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6037337217891696,2023-08-24 13:25:44.047920,2023-08-24 13:25:47.246749,0 days 00:00:03.198829,1.0,1,0.9,0.0019250882984144491,1.3719704548528919e-05,10,122,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5932449842839398,2023-08-24 13:25:44.050836,2023-08-24 13:25:45.418562,0 days 00:00:01.367726,0.5,1,0.5,3.875680796809924e-07,0.08719879465936586,60,90,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.60172816055169,2023-08-24 13:25:44.053321,2023-08-24 13:25:48.350942,0 days 00:00:04.297621,0.9,3,0.7000000000000001,4.733830918939416e-06,1.7890329110509465e-06,30,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5972042022854123,2023-08-24 13:25:44.055823,2023-08-24 13:25:44.715257,0 days 00:00:00.659434,1.0,2,0.9,0.026750196178056986,0.021722086407134196,20,18,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6002987303958178,2023-08-24 13:25:44.059732,2023-08-24 13:25:45.636668,0 days 00:00:01.576936,0.6000000000000001,1,1.0,0.3546657277050852,0.2705275177731183,60,129,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6192036552018553,2023-08-24 13:25:44.461732,2023-08-24 13:25:48.128900,0 days 00:00:03.667168,0.7000000000000001,1,0.8,2.6153481186680757e-06,0.12891437855653634,30,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5991083306367526,2023-08-24 13:25:44.759038,2023-08-24 13:25:46.021106,0 days 00:00:01.262068,0.5,2,0.5,0.04290403006362286,4.680332656118174e-07,50,42,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6060375954996977,2023-08-24 13:25:45.469495,2023-08-24 13:25:48.673472,0 days 00:00:03.203977,0.7000000000000001,2,1.0,0.37177183753119863,0.00031835272240288457,40,107,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5971282372598161,2023-08-24 13:25:45.732318,2023-08-24 13:25:46.197360,0 days 00:00:00.465042,1.0,3,0.7000000000000001,0.04913808031439525,0.04629896000612154,20,12,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5817870965172902,2023-08-24 13:25:45.736522,2023-08-24 13:25:47.418073,0 days 00:00:01.681551,1.0,2,1.0,1.3857222912951677e-06,1.4818677300672627e-08,100,99,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6028760834208304,2023-08-24 13:25:46.062585,2023-08-24 13:25:47.190952,0 days 00:00:01.128367,0.7000000000000001,2,1.0,0.00012766528057036756,0.031191221442431447,100,220,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5962046861985297,2023-08-24 13:25:46.247275,2023-08-24 13:25:47.730941,0 days 00:00:01.483666,0.7000000000000001,2,0.4,2.4735042488557602e-08,0.128110114082832,60,94,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5969957330141138,2023-08-24 13:25:47.240016,2023-08-24 13:25:48.909897,0 days 00:00:01.669881,0.8,2,0.5,0.004888399557844012,0.233264096193926,100,236,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6270883881260036,2023-08-24 13:25:47.297644,2023-08-24 13:25:49.517460,0 days 00:00:02.219816,0.5,3,0.9,0.09275818714038116,0.42911206442982636,50,211,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6067400767716102,2023-08-24 13:25:47.460457,2023-08-24 13:25:48.576737,0 days 00:00:01.116280,0.4,1,0.7000000000000001,9.560732000946445e-06,0.00021828479671522993,80,192,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6046099290780143,2023-08-24 13:25:47.819804,2023-08-24 13:25:49.024690,0 days 00:00:01.204886,0.4,1,0.8,0.0005666613777362577,0.00026795228632000943,80,200,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6046099290780143,2023-08-24 13:25:47.833321,2023-08-24 13:25:49.127342,0 days 00:00:01.294021,0.4,1,0.8,0.0003300840636089249,0.0003738017195230027,80,218,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6166718442580512,2023-08-24 13:25:48.171379,2023-08-24 13:25:50.192663,0 days 00:00:02.021284,0.8,1,0.8,1.2189457472841025e-05,0.0008776202617279359,80,198,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6046099290780143,2023-08-24 13:25:48.394015,2023-08-24 13:25:49.705687,0 days 00:00:01.311672,0.4,1,0.8,0.00010716610533210202,0.0006423390872460026,80,199,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6166718442580512,2023-08-24 13:25:48.623186,2023-08-24 13:25:50.726015,0 days 00:00:02.102829,0.8,1,0.8,8.640060158798754e-05,0.0008573132287862007,80,196,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6166718442580512,2023-08-24 13:25:48.719931,2023-08-24 13:25:50.847506,0 days 00:00:02.127575,0.8,1,0.8,6.947750337001506e-05,0.002029223827290124,80,238,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6046099290780143,2023-08-24 13:25:48.952018,2023-08-24 13:25:50.108266,0 days 00:00:01.156248,0.4,1,0.8,8.252710654896738e-05,0.0026250715959499848,80,183,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.6077396657871592,2023-08-24 13:25:49.065187,2023-08-24 13:25:50.542203,0 days 00:00:01.477016,0.6000000000000001,1,0.8,3.126947432126547e-05,0.680142768913444,80,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.6044639927821522,2023-08-24 13:25:49.167618,2023-08-24 13:25:51.052336,0 days 00:00:01.884718,0.6000000000000001,1,0.8,3.2236355281323e-05,0.7103948326253736,70,162,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
