,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6408772906941895,2023-08-23 22:56:41.759528,2023-08-23 22:56:42.803727,0 days 00:00:01.044199,0.7000000000000001,1,1.0,2.6610326404378362e-08,0.07886562576181251,100,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6204255319148936,2023-08-23 22:56:41.761112,2023-08-23 22:56:44.013388,0 days 00:00:02.252276,1.0,2,0.7000000000000001,2.726053728678468e-05,0.8292535739449117,60,144,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6168340395890173,2023-08-23 22:56:41.762492,2023-08-23 22:56:44.073273,0 days 00:00:02.310781,1.0,2,0.8,0.0002257614565391052,0.01390579112638224,80,133,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6044345898004435,2023-08-23 22:56:41.763520,2023-08-23 22:56:45.709403,0 days 00:00:03.945883,0.6000000000000001,3,0.5,4.705266449496343e-07,8.378217750193862e-05,10,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6194141918551966,2023-08-23 22:56:41.764735,2023-08-23 22:56:43.394153,0 days 00:00:01.629418,0.8,1,0.9,1.389371755458564e-05,0.0002615309572127511,80,206,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6347557363961784,2023-08-23 22:56:41.765350,2023-08-23 22:56:42.548831,0 days 00:00:00.783481,0.4,3,0.8,0.03340983258665638,0.003967123381936994,70,117,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6238935077163448,2023-08-23 22:56:41.766161,2023-08-23 22:56:42.647459,0 days 00:00:00.881298,0.4,2,0.4,0.0004265991757959288,7.052565818834116e-06,80,118,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6097626253268277,2023-08-23 22:56:41.766890,2023-08-23 22:56:46.106009,0 days 00:00:04.339119,0.5,2,0.6000000000000001,0.00046192915914363856,7.704434817058542e-07,10,168,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6304222510448192,2023-08-23 22:56:42.591472,2023-08-23 22:56:43.471837,0 days 00:00:00.880365,1.0,1,0.9,4.208747957726431e-07,1.264110998655182e-07,90,29,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6245515803293881,2023-08-23 22:56:42.701375,2023-08-23 22:56:44.405562,0 days 00:00:01.704187,0.8,2,0.5,2.074844321895568e-08,0.007057784335338695,80,221,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6355114767918348,2023-08-23 22:56:42.848439,2023-08-23 22:56:43.472472,0 days 00:00:00.624033,0.4,1,0.4,6.277612607970708e-06,1.7834182841966108e-05,100,238,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6194695723684212,2023-08-23 22:56:43.443373,2023-08-23 22:56:45.099550,0 days 00:00:01.656177,0.8,2,0.7000000000000001,0.0009323586292688205,0.9913165247910806,90,63,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6181933866769498,2023-08-23 22:56:43.557490,2023-08-23 22:56:45.607407,0 days 00:00:02.049917,0.5,1,0.7000000000000001,0.00034526585665218195,2.3794668839924566e-08,40,234,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6357743935348164,2023-08-23 22:56:43.560896,2023-08-23 22:56:45.041329,0 days 00:00:01.480433,0.6000000000000001,3,0.7000000000000001,0.09379547506800343,0.0002428515480683302,80,100,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6169153461196233,2023-08-23 22:56:44.062100,2023-08-23 22:56:46.702544,0 days 00:00:02.640444,0.6000000000000001,1,0.5,0.2837413606070674,0.004839465459612012,30,191,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6168340395890173,2023-08-23 22:56:44.116733,2023-08-23 22:56:46.325881,0 days 00:00:02.209148,0.9,3,0.6000000000000001,0.0007529603853079056,0.07342760430788407,60,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6253270700305587,2023-08-23 22:56:44.468876,2023-08-23 22:56:46.799399,0 days 00:00:02.330523,0.9,2,1.0,0.015813273370511242,0.011006075166864842,60,83,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6294918837123404,2023-08-23 22:56:45.084452,2023-08-23 22:56:46.633231,0 days 00:00:01.548779,0.6000000000000001,1,1.0,1.7296896449584497e-08,0.8433924352118413,30,44,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6272094795584728,2023-08-23 22:56:45.157987,2023-08-23 22:56:48.273395,0 days 00:00:03.115408,0.6000000000000001,3,1.0,0.8043037637144137,0.00026961756932949776,30,170,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6291345857714814,2023-08-23 22:56:45.648285,2023-08-23 22:56:48.491504,0 days 00:00:02.843219,0.6000000000000001,3,1.0,0.8329157530112637,0.00030864455722204114,10,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6301614689294635,2023-08-23 22:56:45.771630,2023-08-23 22:56:47.986134,0 days 00:00:02.214504,0.6000000000000001,3,1.0,0.29382163271327655,0.06314356598636643,40,75,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.616160759817239,2023-08-23 22:56:46.149101,2023-08-23 22:56:47.530761,0 days 00:00:01.381660,0.7000000000000001,3,1.0,0.026691228882279417,0.0008776195234912789,100,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6306788666183194,2023-08-23 22:56:46.368614,2023-08-23 22:56:48.119322,0 days 00:00:01.750708,0.7000000000000001,3,1.0,0.9762484301442581,0.0004243796790468627,100,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6405810491735962,2023-08-23 22:56:46.686427,2023-08-23 22:56:48.388030,0 days 00:00:01.701603,0.7000000000000001,3,1.0,0.05415234556508052,0.0008401029083635681,100,79,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6250727851152029,2023-08-23 22:56:46.745549,2023-08-23 22:56:48.619876,0 days 00:00:01.874327,0.7000000000000001,3,1.0,0.013424155808083696,0.0005599953979550451,90,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.6567228171313156,2023-08-23 22:56:46.860091,2023-08-23 22:56:47.075711,0 days 00:00:00.215620,0.7000000000000001,3,0.9,0.46668991312053537,0.0005202558903391726,100,5,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.6546775958540665,2023-08-23 22:56:47.128025,2023-08-23 22:56:47.354783,0 days 00:00:00.226758,0.7000000000000001,3,0.9,0.9011436887911839,0.0016467161088736728,100,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.6672320230142339,2023-08-23 22:56:47.400260,2023-08-23 22:56:47.650774,0 days 00:00:00.250514,0.7000000000000001,3,0.9,0.9636140553828818,0.0009084725803113825,100,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.6618336557059961,2023-08-23 22:56:47.575235,2023-08-23 22:56:48.027802,0 days 00:00:00.452567,0.7000000000000001,3,0.9,0.6369184897205821,0.001234293772099273,100,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.6666769750948375,2023-08-23 22:56:47.694237,2023-08-23 22:56:47.886198,0 days 00:00:00.191961,0.7000000000000001,3,0.9,0.9408611034282067,0.0008938724596854826,90,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.6557002681248942,2023-08-23 22:56:47.926569,2023-08-23 22:56:48.747062,0 days 00:00:00.820493,0.8,3,0.8,0.5015112318481454,0.000541135239005412,90,8,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.6416075006771302,2023-08-23 22:56:48.074974,2023-08-23 22:56:49.253374,0 days 00:00:01.178400,0.8,3,0.8,0.9441520785281273,5.417252455120067e-05,90,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.6360331833774191,2023-08-23 22:56:48.076863,2023-08-23 22:56:49.704291,0 days 00:00:01.627428,0.8,3,0.8,0.8883694285330983,7.90515286734053e-05,90,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.6298965033811644,2023-08-23 22:56:48.169585,2023-08-23 22:56:49.520595,0 days 00:00:01.351010,0.8,3,0.8,0.005443118445435123,6.634396276247673e-05,90,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.6298965033811644,2023-08-23 22:56:48.321043,2023-08-23 22:56:49.395623,0 days 00:00:01.074580,0.8,3,0.8,0.0047584365865069285,4.6022005633647724e-05,90,31,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.6306418219461698,2023-08-23 22:56:48.431747,2023-08-23 22:56:49.707003,0 days 00:00:01.275256,0.8,3,0.8,0.009556401149852055,9.566562352488007e-05,90,27,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.6304222510448192,2023-08-23 22:56:48.533884,2023-08-23 22:56:49.470162,0 days 00:00:00.936278,0.8,3,0.8,0.006062845546657032,5.259166927961435e-05,90,26,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.6296273372018053,2023-08-23 22:56:48.661587,2023-08-23 22:56:49.906742,0 days 00:00:01.245155,0.8,3,0.8,0.11697496773095553,5.819364713440659e-05,90,24,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.6332118646580294,2023-08-23 22:56:48.789499,2023-08-23 22:56:49.817021,0 days 00:00:01.027522,0.8,3,0.9,0.16468450474277951,5.481412362715776e-05,90,23,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.6327177650134849,2023-08-23 22:56:49.295738,2023-08-23 22:56:50.323089,0 days 00:00:01.027351,0.9,3,0.9,0.1518747490720103,0.002029155424533533,70,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.6395792104451234,2023-08-23 22:56:49.439543,2023-08-23 22:56:50.417334,0 days 00:00:00.977791,0.9,3,0.9,0.1484950481906495,0.001829740253189349,70,13,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
41,41,0.6316984355042646,2023-08-23 22:56:49.515217,2023-08-23 22:56:51.200307,0 days 00:00:01.685090,0.9,2,0.9,0.14536464372692778,0.002891131071761245,70,51,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
42,42,0.6237379307675935,2023-08-23 22:56:49.575272,2023-08-23 22:56:51.383971,0 days 00:00:01.808699,0.9,2,0.9,0.1375511980513856,0.028014371562584756,70,49,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
43,43,0.6252989444169554,2023-08-23 22:56:49.803552,2023-08-23 22:56:51.471227,0 days 00:00:01.667675,0.5,2,0.9,0.1419750260986345,0.00220827655351722,70,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
44,44,0.632195282863269,2023-08-23 22:56:49.806098,2023-08-23 22:56:51.640264,0 days 00:00:01.834166,0.5,2,0.9,0.1385891850762443,0.0019163450057128834,70,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
45,45,0.6314238784519043,2023-08-23 22:56:49.866187,2023-08-23 22:56:51.846716,0 days 00:00:01.980529,0.9,2,0.9,0.14861789825598365,0.0021995552465851444,70,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
46,46,0.6339931493017459,2023-08-23 22:56:49.951899,2023-08-23 22:56:51.556100,0 days 00:00:01.604201,0.9,2,0.9,0.1888448142594519,0.0023018308330654993,100,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
47,47,0.6401107010594458,2023-08-23 22:56:50.371636,2023-08-23 22:56:51.966734,0 days 00:00:01.595098,0.5,2,0.9,0.05129769757465939,0.01564795654170399,70,51,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
48,48,0.6696755080312919,2023-08-23 22:56:50.463517,2023-08-23 22:56:50.671892,0 days 00:00:00.208375,0.7000000000000001,2,0.9,0.2761070159189454,0.023596460398100268,100,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
