,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5289425276433415,2023-08-24 14:11:17.587249,2023-08-24 14:11:19.594924,0 days 00:00:02.007675,0.6000000000000001,2,0.4,0.00987818250913779,0.0011207555528308872,50,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5334930304147066,2023-08-24 14:11:17.589463,2023-08-24 14:11:23.702749,0 days 00:00:06.113286,0.8,3,0.7000000000000001,0.00018009962161271315,0.030297134016165933,10,234,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5395701278054219,2023-08-24 14:11:17.591843,2023-08-24 14:11:19.235306,0 days 00:00:01.643463,0.8,2,0.9,0.0006799667640878077,7.635620030206677e-05,100,222,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5231938528355466,2023-08-24 14:11:17.594733,2023-08-24 14:11:18.537482,0 days 00:00:00.942749,0.7000000000000001,2,1.0,4.6261044685364014e-05,4.5643742179473906e-08,100,104,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5312001220298558,2023-08-24 14:11:17.597407,2023-08-24 14:11:18.798057,0 days 00:00:01.200650,0.5,2,1.0,0.2274115692300511,3.969855937846346e-08,70,197,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5290371024611917,2023-08-24 14:11:17.600948,2023-08-24 14:11:18.355435,0 days 00:00:00.754487,0.5,1,1.0,4.1881580961240494e-05,0.43680082553157384,90,214,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5231938528355466,2023-08-24 14:11:17.606381,2023-08-24 14:11:18.460775,0 days 00:00:00.854394,0.7000000000000001,2,0.6000000000000001,3.419265824474522e-08,1.0645310242793324e-08,100,207,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5249956529299252,2023-08-24 14:11:17.608750,2023-08-24 14:11:19.281305,0 days 00:00:01.672555,0.9,1,1.0,0.30992656721943357,2.3950824397028517e-08,80,204,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5382226056945643,2023-08-24 14:11:18.400839,2023-08-24 14:11:19.920127,0 days 00:00:01.519288,0.6000000000000001,1,0.7000000000000001,0.15349195500080154,3.282468002777678e-08,70,155,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5044325954347713,2023-08-24 14:11:18.504515,2023-08-24 14:11:19.532512,0 days 00:00:01.027997,0.4,3,0.4,2.895429625578929e-08,0.017650938671079537,80,254,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.4952336479867563,2023-08-24 14:11:18.581477,2023-08-24 14:11:19.031634,0 days 00:00:00.450157,0.6000000000000001,1,1.0,0.0004987363277240513,0.007843782782261837,50,11,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5228290830389775,2023-08-24 14:11:18.843558,2023-08-24 14:11:21.417230,0 days 00:00:02.573672,0.7000000000000001,3,0.4,1.4747813666694457e-08,0.000190632670261354,50,188,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5319861990154711,2023-08-24 14:11:19.074946,2023-08-24 14:11:20.761571,0 days 00:00:01.686625,0.7000000000000001,2,0.4,3.7026723587079637e-06,1.0628611319021038e-07,80,92,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5315222920190394,2023-08-24 14:11:19.329048,2023-08-24 14:11:20.658346,0 days 00:00:01.329298,0.9,2,0.4,1.4394230320886338e-06,4.215409413468659e-08,10,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5283011233383982,2023-08-24 14:11:19.333503,2023-08-24 14:11:20.511242,0 days 00:00:01.177739,0.5,1,0.9,0.005548557234763986,2.1036643839373722e-08,90,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5253411108087139,2023-08-24 14:11:19.579399,2023-08-24 14:11:21.977098,0 days 00:00:02.397699,0.5,1,0.8,0.09811454790501008,1.4725145365562604e-06,30,253,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5300506585612969,2023-08-24 14:11:19.657255,2023-08-24 14:11:21.077021,0 days 00:00:01.419766,1.0,3,0.6000000000000001,0.16214448584167968,0.1430204117297088,100,171,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5303751957270133,2023-08-24 14:11:19.964397,2023-08-24 14:11:21.181561,0 days 00:00:01.217164,1.0,3,0.8,2.714336592036155e-06,1.1385227720418147e-05,20,47,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5337846871923277,2023-08-24 14:11:20.557936,2023-08-24 14:11:23.219592,0 days 00:00:02.661656,0.9,3,0.7000000000000001,0.7687016408021677,5.490758148962093e-06,20,153,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5407322654462242,2023-08-24 14:11:20.709124,2023-08-24 14:11:24.131200,0 days 00:00:03.422076,0.8,3,0.8,0.02196144994362946,1.0014860071699023e-05,30,157,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5294361990687086,2023-08-24 14:11:20.808476,2023-08-24 14:11:24.048586,0 days 00:00:03.240110,1.0,3,0.8,0.7128408310947254,3.021648988045925e-06,30,154,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5350033782731676,2023-08-24 14:11:21.121947,2023-08-24 14:11:24.585564,0 days 00:00:03.463617,0.8,3,0.8,0.01040233207040105,3.683871704483635e-06,30,148,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.528658761299833,2023-08-24 14:11:21.229584,2023-08-24 14:11:22.899708,0 days 00:00:01.670124,0.8,1,0.7000000000000001,0.007626334160773583,7.318088946265706e-06,60,150,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5295607409606784,2023-08-24 14:11:21.459274,2023-08-24 14:11:23.113850,0 days 00:00:01.654576,0.8,1,0.7000000000000001,0.016203803544627023,2.1636743635021732e-06,60,150,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5297312062937063,2023-08-24 14:11:22.034308,2023-08-24 14:11:23.389592,0 days 00:00:01.355284,0.8,1,0.7000000000000001,0.8665261417229193,1.251829518981134e-06,60,135,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5390939056899872,2023-08-24 14:11:22.950226,2023-08-24 14:11:25.013368,0 days 00:00:02.063142,0.8,2,0.8,0.0011777714478529817,3.4503006962730445e-07,70,135,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5301722445409407,2023-08-24 14:11:23.160396,2023-08-24 14:11:25.948438,0 days 00:00:02.788042,0.8,2,0.8,0.002284244513466557,4.0871100676037645e-05,40,131,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5390939056899872,2023-08-24 14:11:23.264652,2023-08-24 14:11:25.144833,0 days 00:00:01.880181,0.8,2,0.8,0.0007059088597902928,3.822481501834889e-07,70,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5321678321678323,2023-08-24 14:11:23.435897,2023-08-24 14:11:25.818185,0 days 00:00:02.382288,0.9,3,0.6000000000000001,0.8054964704019388,5.2150403580294415e-05,40,227,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.5337846871923277,2023-08-24 14:11:23.748316,2023-08-24 14:11:26.351505,0 days 00:00:02.603189,0.9,2,0.6000000000000001,0.8874222644939387,3.683115211229241e-05,30,160,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.5412350131917311,2023-08-24 14:11:24.093803,2023-08-24 14:11:26.982434,0 days 00:00:02.888631,0.9,2,0.6000000000000001,0.04227015965933905,3.8120365621884454e-05,40,115,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5272945804195804,2023-08-24 14:11:24.177042,2023-08-24 14:11:26.162613,0 days 00:00:01.985571,0.6000000000000001,2,0.9,0.0015547687288450089,0.00012257202446158235,40,119,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.529973078360175,2023-08-24 14:11:24.633935,2023-08-24 14:11:26.661582,0 days 00:00:02.027647,0.6000000000000001,2,0.9,0.037250178570114686,3.564000985321384e-05,40,122,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.5390576869130341,2023-08-24 14:11:25.057553,2023-08-24 14:11:28.087382,0 days 00:00:03.029829,0.9,2,0.9,0.0012025929873038675,5.901923705248764e-05,40,126,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.5392364679684825,2023-08-24 14:11:25.192557,2023-08-24 14:11:28.265640,0 days 00:00:03.073083,0.9,2,0.9,0.0014794155344352098,2.634761079261849e-05,40,181,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.5392364679684825,2023-08-24 14:11:25.864527,2023-08-24 14:11:28.940074,0 days 00:00:03.075547,0.9,2,0.9,0.0018062863430063027,3.055230712238828e-05,40,183,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.5392364679684825,2023-08-24 14:11:25.992049,2023-08-24 14:11:29.022638,0 days 00:00:03.030589,0.9,2,0.9,0.022917106635182774,0.00028940407271485676,40,183,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.5415390308587406,2023-08-24 14:11:26.220953,2023-08-24 14:11:27.888918,0 days 00:00:01.667965,0.9,2,0.9,0.0422150874431629,0.0006180568641966807,90,178,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.5299486279638244,2023-08-24 14:11:26.396977,2023-08-24 14:11:27.958444,0 days 00:00:01.561467,0.8,2,0.9,0.0316656381359489,4.5454493654186164e-07,70,177,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.5390939056899872,2023-08-24 14:11:26.708429,2023-08-24 14:11:28.357042,0 days 00:00:01.648613,0.8,2,0.9,0.0007136496468775888,4.6937991847584946e-07,70,177,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.5317022342450656,2023-08-24 14:11:27.026934,2023-08-24 14:11:31.415007,0 days 00:00:04.388073,0.9,2,0.5,0.02937344171306391,0.0003526215970926038,20,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
41,41,0.5443509615384615,2023-08-24 14:11:27.947956,2023-08-24 14:11:29.524986,0 days 00:00:01.577030,0.9,2,0.5,0.04125627579913053,0.00043360517638392336,90,184,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
42,42,0.5386756898022063,2023-08-24 14:11:28.022664,2023-08-24 14:11:29.765963,0 days 00:00:01.743299,0.9,2,0.5,0.044850311516345776,0.0003085980889368366,90,228,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
43,43,0.5330923677076675,2023-08-24 14:11:28.140069,2023-08-24 14:11:30.234720,0 days 00:00:02.094651,1.0,2,0.5,0.042837226488516685,0.0004134633570980296,90,228,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
44,44,0.5266038908853812,2023-08-24 14:11:28.310700,2023-08-24 14:11:30.025111,0 days 00:00:01.714411,1.0,2,0.5,0.04084361099271957,0.00041821798045943524,90,104,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
45,45,0.5285542722105694,2023-08-24 14:11:28.415414,2023-08-24 14:11:29.809457,0 days 00:00:01.394043,1.0,2,0.5,0.03765638811195253,0.00018358136665229453,100,225,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
46,46,0.5335438790089805,2023-08-24 14:11:28.990430,2023-08-24 14:11:30.918755,0 days 00:00:01.928325,1.0,2,0.5,0.04142178041134182,0.0005087629018272889,90,225,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
47,47,0.5296063770143271,2023-08-24 14:11:29.079577,2023-08-24 14:11:30.370070,0 days 00:00:01.290493,0.7000000000000001,2,0.5,0.0046942849107850125,0.0005617549030559844,90,230,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
48,48,0.5266038908853812,2023-08-24 14:11:29.571515,2023-08-24 14:11:31.312946,0 days 00:00:01.741431,1.0,2,0.5,0.05181905728669299,0.0004144951697152705,90,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
49,49,0.5276723586104302,2023-08-24 14:11:29.810567,2023-08-24 14:11:31.639958,0 days 00:00:01.829391,1.0,2,0.5,0.08241746086768383,0.0008268944558303088,90,207,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
50,50,0.5253741270369139,2023-08-24 14:11:29.865487,2023-08-24 14:11:31.175010,0 days 00:00:01.309523,0.7000000000000001,2,0.5,0.08141465510966932,0.0013603517641658756,90,197,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
51,51,0.5281605835351764,2023-08-24 14:11:30.071121,2023-08-24 14:11:31.247422,0 days 00:00:01.176301,0.7000000000000001,2,0.5,0.09265131570384265,0.0014721149535377907,100,198,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
52,52,0.5231938528355466,2023-08-24 14:11:30.277090,2023-08-24 14:11:31.502312,0 days 00:00:01.225222,0.7000000000000001,2,1.0,0.005162694733154386,0.0011254823521489397,100,198,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
53,53,0.5234402971715002,2023-08-24 14:11:30.412063,2023-08-24 14:11:31.781498,0 days 00:00:01.369435,0.7000000000000001,2,1.0,0.09903478057523227,0.0014318498414611213,100,197,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
54,54,0.522775622311811,2023-08-24 14:11:30.963007,2023-08-24 14:11:32.380024,0 days 00:00:01.417017,0.7000000000000001,3,1.0,0.11201613994028604,0.00221027630809095,80,198,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
55,55,0.5435549106610869,2023-08-24 14:11:31.218953,2023-08-24 14:11:32.651983,0 days 00:00:01.433030,0.7000000000000001,3,1.0,0.2741816705044085,0.0023025476771737293,100,203,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
56,56,0.5315223947964889,2023-08-24 14:11:31.299247,2023-08-24 14:11:33.190711,0 days 00:00:01.891464,0.9,3,1.0,0.2922502670910687,0.0015728053169639757,80,244,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
57,57,0.5308341673856773,2023-08-24 14:11:31.360915,2023-08-24 14:11:33.558371,0 days 00:00:02.197456,0.9,3,1.0,0.3469054931028722,0.002950917616203277,80,212,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
58,58,0.528582325378664,2023-08-24 14:11:31.459381,2023-08-24 14:11:33.384096,0 days 00:00:01.924715,0.9,2,1.0,0.0002717975654146023,0.00010385642533176433,80,207,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
59,59,0.5283175579326274,2023-08-24 14:11:31.551986,2023-08-24 14:11:33.871565,0 days 00:00:02.319579,0.9,2,1.0,0.2333465483569588,1.786585419184206e-05,80,166,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
60,60,0.5287262440458445,2023-08-24 14:11:31.682068,2023-08-24 14:11:33.663289,0 days 00:00:01.981221,0.9,3,1.0,0.24336016127993457,1.604218076872456e-05,80,164,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
61,61,0.535329183292259,2023-08-24 14:11:31.833042,2023-08-24 14:11:33.931198,0 days 00:00:02.098156,0.9,3,1.0,0.014295804749688475,1.1129904854461119e-05,80,165,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
62,62,0.5392364679684825,2023-08-24 14:11:32.442752,2023-08-24 14:11:35.728065,0 days 00:00:03.285313,0.9,2,0.6000000000000001,0.014015631886402858,1.679166938020837e-05,50,164,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
63,63,0.5335438790089805,2023-08-24 14:11:32.699243,2023-08-24 14:11:34.244707,0 days 00:00:01.545464,0.8,3,1.0,0.2132808128560415,0.0037110701327314403,80,241,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
64,64,0.5276773857351779,2023-08-24 14:11:33.232327,2023-08-24 14:11:34.801562,0 days 00:00:01.569235,0.8,3,1.0,0.24930511180994216,0.00010063085113595442,100,166,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
65,65,0.5073245738202691,2023-08-24 14:11:33.427850,2023-08-24 14:11:34.705917,0 days 00:00:01.278067,0.4,3,0.6000000000000001,0.2052860899319063,0.0029878844893587637,50,166,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
66,66,0.5195555943247445,2023-08-24 14:11:33.601003,2023-08-24 14:11:35.169680,0 days 00:00:01.568677,0.4,3,0.6000000000000001,0.01721797991876124,1.6630477643394314e-05,50,166,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
67,67,0.5415923115832069,2023-08-24 14:11:33.705259,2023-08-24 14:11:36.147979,0 days 00:00:02.442720,0.8,3,0.6000000000000001,0.01256740510273776,0.004412012619990308,10,79,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
68,68,0.534604458041958,2023-08-24 14:11:33.921081,2023-08-24 14:11:36.343794,0 days 00:00:02.422713,0.8,3,0.6000000000000001,0.02014576536659384,9.62476726519555e-06,50,80,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
69,69,0.5352417740096349,2023-08-24 14:11:33.975084,2023-08-24 14:11:36.550826,0 days 00:00:02.575742,0.8,3,0.6000000000000001,0.011910026667914287,0.00010996369174005177,50,186,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
70,70,0.5328758766270576,2023-08-24 14:11:34.292450,2023-08-24 14:11:36.668264,0 days 00:00:02.375814,0.8,2,0.6000000000000001,0.016405759041721944,8.634243826727635e-05,50,76,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
71,71,0.5283299897877218,2023-08-24 14:11:34.749291,2023-08-24 14:11:37.147115,0 days 00:00:02.397824,0.8,2,0.8,0.012359483709144452,8.056564968095562e-05,50,84,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
