,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5521249583749583,2023-08-24 12:23:21.495807,2023-08-24 12:23:26.383255,0 days 00:00:04.887448,0.7000000000000001,1,0.5,0.006524880648485833,0.009892975770777926,10,167,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5420469631596415,2023-08-24 12:23:21.498004,2023-08-24 12:23:22.718089,0 days 00:00:01.220085,0.5,2,0.7000000000000001,5.302202231477269e-06,0.6488034173125904,70,138,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5527074989417473,2023-08-24 12:23:21.500225,2023-08-24 12:23:23.504372,0 days 00:00:02.004147,0.9,1,0.6000000000000001,1.0148926271510468e-07,7.552407845831162e-06,80,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5615286343326654,2023-08-24 12:23:21.502524,2023-08-24 12:23:24.404910,0 days 00:00:02.902386,1.0,3,0.8,0.6936307198380289,0.5255681693856734,60,147,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5452932756419928,2023-08-24 12:23:21.507755,2023-08-24 12:23:21.894820,0 days 00:00:00.387065,1.0,1,1.0,5.677980809575841e-06,2.9734048384899943e-07,30,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5668529177538507,2023-08-24 12:23:21.508620,2023-08-24 12:23:23.695171,0 days 00:00:02.186551,0.7000000000000001,2,0.5,2.384433557924298e-08,0.8988429259287681,80,106,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5592925591478589,2023-08-24 12:23:21.523766,2023-08-24 12:23:22.577850,0 days 00:00:01.054084,0.5,3,0.4,4.237740033852928e-08,0.22576293851908957,50,31,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5394940629839958,2023-08-24 12:23:21.532018,2023-08-24 12:23:23.122554,0 days 00:00:01.590536,0.6000000000000001,3,0.4,1.456351586322753e-06,1.481463826865909e-07,80,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.553712443584784,2023-08-24 12:23:21.942904,2023-08-24 12:23:23.568465,0 days 00:00:01.625561,0.4,1,0.8,8.413740809943592e-06,0.025820535570065917,60,88,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5501858542798472,2023-08-24 12:23:22.624926,2023-08-24 12:23:27.550800,0 days 00:00:04.925874,0.5,1,0.4,2.4108162501958505e-07,3.52774397202467e-06,20,161,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5599419328827593,2023-08-24 12:23:22.761866,2023-08-24 12:23:26.465027,0 days 00:00:03.703161,0.5,1,0.9,0.00022160269389554342,0.01526677590708054,20,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5379453240969817,2023-08-24 12:23:23.171896,2023-08-24 12:23:25.463735,0 days 00:00:02.291839,0.5,3,0.4,5.875724078585707e-06,2.756335585613455e-08,40,207,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5461368790259676,2023-08-24 12:23:23.556577,2023-08-24 12:23:24.984821,0 days 00:00:01.428244,0.6000000000000001,3,0.9,3.276420559772936e-08,1.115345501703574e-06,90,106,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5582675939848657,2023-08-24 12:23:23.620864,2023-08-24 12:23:24.760625,0 days 00:00:01.139761,0.4,2,0.5,1.6525367567152617e-05,4.791977491137405e-08,90,197,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.593304544692269,2023-08-24 12:23:23.741012,2023-08-24 12:23:25.409429,0 days 00:00:01.668417,1.0,1,0.9,2.0588050260310596e-05,3.033742472423587e-08,80,47,COMPLETE,1.0,0.6098654708520179,0.5947173346366895,0.6022107946554149,0.593304544692269,0.7298387096774194,0.6284722222222222,0.6753731343283582,0.4595959595959596,0.5759493670886076,0.5112359550561798,0.5904255319148937,0.5768332421114265,0.5815998918535292,0.5755747994686704,0.700479233226837,0.615007012622721,0.6549663928304705,0.4531872509960159,0.5481927710843374,0.4961832061068703
15,15,0.5691630355258301,2023-08-24 12:23:24.446211,2023-08-24 12:23:26.689675,0 days 00:00:02.243464,0.9,2,0.7000000000000001,0.00580258703384442,2.2795377843929536e-05,70,132,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5569788557149583,2023-08-24 12:23:24.807854,2023-08-24 12:23:25.990539,0 days 00:00:01.182685,0.5,3,0.8,0.06133768909834937,0.002908030843205604,80,27,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.525888198919992,2023-08-24 12:23:25.024363,2023-08-24 12:23:32.020173,0 days 00:00:06.995810,0.7000000000000001,2,0.6000000000000001,0.0014311445659428022,0.0010216897463577702,10,256,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5427363839892871,2023-08-24 12:23:25.463581,2023-08-24 12:23:27.448047,0 days 00:00:01.984466,0.8,2,0.6000000000000001,0.00026525310426946184,0.0006650199220385882,10,46,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5508065150680621,2023-08-24 12:23:25.522160,2023-08-24 12:23:27.253525,0 days 00:00:01.731365,0.8,2,0.6000000000000001,0.0003637243464899098,0.000427553032129982,100,49,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5639438250143722,2023-08-24 12:23:26.034769,2023-08-24 12:23:27.878363,0 days 00:00:01.843594,0.8,2,0.6000000000000001,0.00041652006030683963,0.00016336340373498875,10,58,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5295157450569502,2023-08-24 12:23:26.434917,2023-08-24 12:23:28.474381,0 days 00:00:02.039464,0.8,2,1.0,0.0005264694886726767,0.00017815929665110353,100,67,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5562809930202552,2023-08-24 12:23:26.521839,2023-08-24 12:23:28.412021,0 days 00:00:01.890182,0.8,2,0.6000000000000001,1.0303482812719627e-08,8.578675714603982e-05,100,64,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.539557531904381,2023-08-24 12:23:26.735165,2023-08-24 12:23:28.727264,0 days 00:00:01.992099,0.9,2,1.0,0.0005766615557478166,1.103517405743698e-08,100,64,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5544455544455544,2023-08-24 12:23:27.297811,2023-08-24 12:23:29.515840,0 days 00:00:02.218029,0.9,2,1.0,0.0012845331810811087,1.4687468622302047e-05,50,64,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5658693175934555,2023-08-24 12:23:27.488788,2023-08-24 12:23:31.212633,0 days 00:00:03.723845,0.9,1,1.0,0.0022109985299602697,1.9563145735636096e-05,50,177,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5553023288939534,2023-08-24 12:23:27.593222,2023-08-24 12:23:30.071076,0 days 00:00:02.477854,0.9,2,1.0,0.0016434788188656893,2.4004489221520702e-05,50,74,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5741023682200154,2023-08-24 12:23:27.922307,2023-08-24 12:23:31.452656,0 days 00:00:03.530349,0.9,1,1.0,0.0028140134935201997,1.3548745377123641e-08,50,116,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5648215907616452,2023-08-24 12:23:28.454349,2023-08-24 12:23:30.811677,0 days 00:00:02.357328,0.9,2,1.0,0.0023333725692530924,6.7813184832284795e-06,70,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.5517401198789753,2023-08-24 12:23:28.527634,2023-08-24 12:23:31.104760,0 days 00:00:02.577126,0.9,2,0.7000000000000001,3.90620901352822e-07,1.871791572723369e-05,70,117,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.5517401198789753,2023-08-24 12:23:28.776332,2023-08-24 12:23:30.879786,0 days 00:00:02.103454,0.9,2,0.7000000000000001,2.8647606228717267e-07,2.7827088265097003e-05,70,104,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5507724100416559,2023-08-24 12:23:29.563644,2023-08-24 12:23:32.110057,0 days 00:00:02.546413,1.0,1,0.7000000000000001,4.786924260907644e-05,3.837778785814283e-05,70,115,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.5507724100416559,2023-08-24 12:23:30.120349,2023-08-24 12:23:32.344578,0 days 00:00:02.224229,1.0,1,0.7000000000000001,3.494384839032501e-07,1.4420310917697274e-06,70,109,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.5507724100416559,2023-08-24 12:23:30.861544,2023-08-24 12:23:33.847165,0 days 00:00:02.985621,1.0,1,0.7000000000000001,5.644782130307354e-05,8.527655607503395e-07,70,105,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.5532476968989231,2023-08-24 12:23:30.928934,2023-08-24 12:23:33.238929,0 days 00:00:02.309995,1.0,1,0.5,5.6690437133079565e-05,9.986831659977183e-07,90,256,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.547867224662733,2023-08-24 12:23:31.155563,2023-08-24 12:23:33.514798,0 days 00:00:02.359235,1.0,1,0.5,4.949532476177716e-05,1.2840082969003398e-06,80,186,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.5622326822098918,2023-08-24 12:23:31.263764,2023-08-24 12:23:32.920211,0 days 00:00:01.656447,0.7000000000000001,1,0.5,5.018317724564063e-05,4.836509742790861e-07,90,150,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.5499594690116274,2023-08-24 12:23:31.499918,2023-08-24 12:23:36.436036,0 days 00:00:04.936118,1.0,1,0.9,0.010398655779008607,7.204303207484718e-07,40,162,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.5499594690116274,2023-08-24 12:23:32.083576,2023-08-24 12:23:34.567968,0 days 00:00:02.484392,1.0,1,0.9,8.873290834772771e-05,5.08370379858259e-07,90,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.551035565164848,2023-08-24 12:23:32.156338,2023-08-24 12:23:34.618034,0 days 00:00:02.461696,1.0,1,0.9,0.01453845769561845,1.4336622797506264e-06,90,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.5456994786422149,2023-08-24 12:23:32.406502,2023-08-24 12:23:34.100190,0 days 00:00:01.693688,0.7000000000000001,1,0.9,5.271359708798069e-05,2.6165783272930077e-07,90,138,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
41,41,0.5622639949996642,2023-08-24 12:23:32.968570,2023-08-24 12:23:35.885998,0 days 00:00:02.917428,1.0,1,0.9,0.01438433971370083,7.350341776385284e-08,60,133,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
42,42,0.54764563594742,2023-08-24 12:23:33.287092,2023-08-24 12:23:35.078700,0 days 00:00:01.791608,0.6000000000000001,1,0.9,0.007931957765425015,1.2600441699032344e-07,80,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
43,43,0.5507501194703887,2023-08-24 12:23:33.562255,2023-08-24 12:23:36.554544,0 days 00:00:02.992289,1.0,1,0.9,0.010655361276705876,1.3955383931437223e-07,60,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
44,44,0.5602687669095299,2023-08-24 12:23:33.897879,2023-08-24 12:23:35.940913,0 days 00:00:02.043034,0.6000000000000001,1,0.9,0.01099321780545096,9.015426656748672e-08,60,135,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
45,45,0.5443598572850978,2023-08-24 12:23:34.145784,2023-08-24 12:23:37.292481,0 days 00:00:03.146697,0.8,1,0.8,0.013129061225612486,4.488477256458992e-08,60,88,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
46,46,0.5758120336304716,2023-08-24 12:23:34.665742,2023-08-24 12:23:35.261304,0 days 00:00:00.595562,0.6000000000000001,3,0.8,1.0437153329110026e-06,7.505860176273704e-08,60,5,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
47,47,0.5853338599296865,2023-08-24 12:23:34.678566,2023-08-24 12:23:36.804104,0 days 00:00:02.125538,0.6000000000000001,3,0.8,2.2161023507712007e-06,5.9204554063208494e-08,60,162,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
48,48,0.5435099034599105,2023-08-24 12:23:35.124337,2023-08-24 12:23:39.479225,0 days 00:00:04.354888,0.9,1,0.8,1.6822103340381904e-06,0.8874365928015866,40,170,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
49,49,0.5547080871401215,2023-08-24 12:23:35.307186,2023-08-24 12:23:35.648817,0 days 00:00:00.341631,0.6000000000000001,3,0.8,1.8290098378532696e-06,1.036924823202241e-08,60,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
50,50,0.5592047743946478,2023-08-24 12:23:35.696540,2023-08-24 12:23:36.614858,0 days 00:00:00.918318,0.6000000000000001,3,0.8,2.5097344675734964e-06,1.0139915440653343e-07,60,17,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
51,51,0.561658090998439,2023-08-24 12:23:35.932039,2023-08-24 12:23:37.514584,0 days 00:00:01.582545,0.6000000000000001,3,0.8,9.663884786780271e-07,3.280604273183675e-08,30,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
52,52,0.5627673883292225,2023-08-24 12:23:36.003001,2023-08-24 12:23:37.242734,0 days 00:00:01.239733,0.6000000000000001,3,0.8,2.0358967344979597e-06,3.415820339331046e-08,40,21,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
53,53,0.5457367067174628,2023-08-24 12:23:36.479705,2023-08-24 12:23:38.086085,0 days 00:00:01.606380,0.7000000000000001,3,0.8,1.5611144970529186e-05,3.915164145201567e-08,40,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
54,54,0.5659196127946128,2023-08-24 12:23:36.603129,2023-08-24 12:23:37.755371,0 days 00:00:01.152242,0.7000000000000001,3,0.8,1.0460322142054461e-07,0.07190259208695826,40,17,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
55,55,0.5589417003210106,2023-08-24 12:23:36.664960,2023-08-24 12:23:39.740913,0 days 00:00:03.075953,0.7000000000000001,3,0.8,1.5931151632314073e-05,3.336355975200758e-08,40,88,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
56,56,0.5346677726132161,2023-08-24 12:23:36.853115,2023-08-24 12:23:38.942826,0 days 00:00:02.089711,0.7000000000000001,3,0.8,1.3357215173839436e-05,2.94418848129757e-08,40,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
57,57,0.5555624756714674,2023-08-24 12:23:37.339348,2023-08-24 12:23:38.758453,0 days 00:00:01.419105,0.7000000000000001,3,0.8,1.5110372105639297e-05,1.6799013891628227e-08,80,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
58,58,0.566269457947629,2023-08-24 12:23:37.346905,2023-08-24 12:23:38.846990,0 days 00:00:01.500085,0.7000000000000001,3,0.8,9.5544063859142e-07,2.1496151111975768e-08,80,36,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
59,59,0.5529922111219739,2023-08-24 12:23:37.560428,2023-08-24 12:23:39.090878,0 days 00:00:01.530450,0.5,3,0.8,1.4226765393741199e-05,1.9012761731691878e-08,80,152,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
60,60,0.5590867465867466,2023-08-24 12:23:37.802321,2023-08-24 12:23:39.331858,0 days 00:00:01.529537,0.5,3,0.7000000000000001,1.0360176536681856e-05,0.7870811472476285,80,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
61,61,0.5474837662337663,2023-08-24 12:23:38.138579,2023-08-24 12:23:39.416955,0 days 00:00:01.278376,0.5,3,0.4,4.520835442331837e-06,1.7801285278472616e-08,80,153,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
62,62,0.5579873226932051,2023-08-24 12:23:38.803717,2023-08-24 12:23:40.622788,0 days 00:00:01.819071,0.5,2,0.4,4.716297911541786e-06,2.30359585474124e-07,80,153,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
63,63,0.5509329181263786,2023-08-24 12:23:38.906486,2023-08-24 12:23:41.601398,0 days 00:00:02.694912,0.5,2,0.7000000000000001,4.499499699853524e-06,1.9640789415967154e-07,50,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
64,64,0.5662084628875633,2023-08-24 12:23:38.994087,2023-08-24 12:23:40.973863,0 days 00:00:01.979776,0.5,2,0.4,4.592569562896589e-06,0.0023644068747910437,50,149,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
65,65,0.55009642486278,2023-08-24 12:23:39.140715,2023-08-24 12:23:41.143374,0 days 00:00:02.002659,0.5,2,0.4,4.413067974280079e-06,2.4000079436962374e-07,50,169,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
66,66,0.5436119595254421,2023-08-24 12:23:39.379062,2023-08-24 12:23:41.523439,0 days 00:00:02.144377,0.4,2,0.4,4.463472236997993e-06,0.0051272652481030925,50,174,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
67,67,0.556632494563529,2023-08-24 12:23:39.464018,2023-08-24 12:23:41.078159,0 days 00:00:01.614141,0.4,2,0.6000000000000001,1.1815865087933782e-07,2.979624104408732e-07,50,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
68,68,0.5331706280733935,2023-08-24 12:23:39.525993,2023-08-24 12:23:42.439267,0 days 00:00:02.913274,0.8,2,0.7000000000000001,5.441562640131961e-07,5.8642015274370454e-08,50,84,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
69,69,0.5431344449560507,2023-08-24 12:23:39.786915,2023-08-24 12:23:41.927536,0 days 00:00:02.140621,0.8,2,0.7000000000000001,7.045304130369495e-07,1.8197954925731767e-07,50,50,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
70,70,0.5638523459535133,2023-08-24 12:23:40.676749,2023-08-24 12:23:42.381542,0 days 00:00:01.704793,0.4,2,0.6000000000000001,7.260998367711728e-07,7.586334337394778e-08,50,50,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
71,71,0.5606483894506411,2023-08-24 12:23:41.018170,2023-08-24 12:23:43.035688,0 days 00:00:02.017518,0.8,2,0.7000000000000001,7.448447480815351e-07,1.8763340536036517e-07,70,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
72,72,0.5664162615996465,2023-08-24 12:23:41.125567,2023-08-24 12:23:43.656443,0 days 00:00:02.530876,0.8,2,0.7000000000000001,2.0506863693843253e-08,6.845393194305914e-08,70,51,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
73,73,0.5391644619807168,2023-08-24 12:23:41.193104,2023-08-24 12:23:43.544867,0 days 00:00:02.351763,0.8,3,0.7000000000000001,1.5171792800734882e-08,6.303083686029737e-08,70,50,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
74,74,0.5599601212891361,2023-08-24 12:23:41.588108,2023-08-24 12:23:43.868374,0 days 00:00:02.280266,0.8,3,0.7000000000000001,7.678151119604826e-07,6.042429254056171e-08,70,126,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
75,75,0.565270867413778,2023-08-24 12:23:41.660682,2023-08-24 12:23:42.561548,0 days 00:00:00.900866,0.8,3,1.0,6.991429137135582e-07,6.572510303489386e-08,70,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
76,76,0.5628630102887487,2023-08-24 12:23:41.972581,2023-08-24 12:23:44.245960,0 days 00:00:02.273379,0.8,3,1.0,2.233242563474302e-08,7.329850659270987e-08,70,122,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
77,77,0.5628630102887487,2023-08-24 12:23:42.429283,2023-08-24 12:23:45.005267,0 days 00:00:02.575984,0.8,3,1.0,2.4229111116715297e-08,1.0491205811043495e-08,70,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
78,78,0.5365694789081887,2023-08-24 12:23:42.489583,2023-08-24 12:23:44.567959,0 days 00:00:02.078376,0.6000000000000001,3,0.5,1.137177965157263e-06,0.147265962035854,70,121,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
79,79,0.5355937239601837,2023-08-24 12:23:42.617474,2023-08-24 12:23:44.466780,0 days 00:00:01.849306,0.6000000000000001,2,0.5,1.8228833348862137e-07,0.38988353351920835,70,127,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
80,80,0.5551954123293649,2023-08-24 12:23:43.085483,2023-08-24 12:23:45.344343,0 days 00:00:02.258860,0.6000000000000001,3,0.5,1.860665084359087e-07,0.2000975464871283,70,121,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
81,81,0.5652147001934236,2023-08-24 12:23:43.591743,2023-08-24 12:23:45.780335,0 days 00:00:02.188592,0.6000000000000001,2,0.5,1.765428534991776e-07,0.4104304139224631,60,128,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
82,82,0.5343451972823038,2023-08-24 12:23:43.702428,2023-08-24 12:23:46.201721,0 days 00:00:02.499293,0.9,3,0.6000000000000001,1.924457593915776e-07,1.761379764523048e-08,70,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
83,83,0.5760276063544078,2023-08-24 12:23:43.918497,2023-08-24 12:23:46.984896,0 days 00:00:03.066399,0.9,2,1.0,3.696961461883981e-08,1.7531028874350636e-08,70,78,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
84,84,0.5619238885100601,2023-08-24 12:23:44.290302,2023-08-24 12:23:47.243947,0 days 00:00:02.953645,0.9,2,0.6000000000000001,3.5538405689089047e-08,1.6862762581753306e-08,60,76,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
85,85,0.5482453406470111,2023-08-24 12:23:44.511257,2023-08-24 12:23:47.310521,0 days 00:00:02.799264,0.9,2,0.6000000000000001,5.137328145334647e-08,1.0852138515940344e-08,60,75,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
86,86,0.5804995888157894,2023-08-24 12:23:44.614697,2023-08-24 12:23:47.036733,0 days 00:00:02.422036,0.9,2,0.9,5.3959333107445796e-08,1.086058675718098e-08,60,75,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
87,87,0.5754116327179108,2023-08-24 12:23:45.050802,2023-08-24 12:23:47.489138,0 days 00:00:02.438336,0.9,2,0.9,1.7042130564371056e-07,1.9154625158538874e-08,60,72,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
88,88,0.5534751883707474,2023-08-24 12:23:45.388672,2023-08-24 12:23:47.620053,0 days 00:00:02.231381,0.9,2,0.6000000000000001,5.559940691761001e-08,2.681536820811515e-06,60,71,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
89,89,0.5461368790259676,2023-08-24 12:23:45.826219,2023-08-24 12:23:48.357885,0 days 00:00:02.531666,0.9,2,0.6000000000000001,4.313493803443974e-08,2.7297312376949008e-06,60,113,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
90,90,0.5550144747725394,2023-08-24 12:23:46.245410,2023-08-24 12:23:49.234116,0 days 00:00:02.988706,0.9,2,0.9,3.390028494718707e-08,2.8489107813562654e-06,60,185,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
91,91,0.5648215907616452,2023-08-24 12:23:47.087558,2023-08-24 12:23:49.891223,0 days 00:00:02.803665,0.9,2,0.9,4.474934976673215e-08,2.403863466278939e-06,60,70,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
92,92,0.5714794898417765,2023-08-24 12:23:47.101840,2023-08-24 12:23:49.600195,0 days 00:00:02.498355,0.9,2,0.9,1.1713389332158215e-08,2.8310229482079672e-06,60,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
93,93,0.5648215907616452,2023-08-24 12:23:47.297138,2023-08-24 12:23:50.312167,0 days 00:00:03.015029,0.9,2,0.9,4.401487226685706e-08,1.146994674889012e-07,60,70,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
94,94,0.5550144747725394,2023-08-24 12:23:47.355453,2023-08-24 12:23:50.704695,0 days 00:00:03.349242,0.9,2,0.9,5.6896506972008825e-08,1.132153363891082e-07,60,97,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
95,95,0.5609331189180274,2023-08-24 12:23:47.540068,2023-08-24 12:23:49.551719,0 days 00:00:02.011651,0.9,2,0.9,3.5094513985947184e-07,2.7048584729396574e-08,60,60,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
96,96,0.5550144747725394,2023-08-24 12:23:47.666885,2023-08-24 12:23:50.807894,0 days 00:00:03.141009,0.9,2,0.9,7.634501348997721e-08,2.844542429324229e-08,60,112,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
97,97,0.5550144747725394,2023-08-24 12:23:48.401143,2023-08-24 12:23:51.974443,0 days 00:00:03.573300,0.9,2,0.9,8.663198240051003e-08,2.7930507490182856e-08,60,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
98,98,0.5534751883707474,2023-08-24 12:23:49.281057,2023-08-24 12:23:51.519809,0 days 00:00:02.238752,0.9,2,0.9,7.68853785402663e-08,2.6728927584884238e-08,60,58,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
99,99,0.5741185695265526,2023-08-24 12:23:49.596748,2023-08-24 12:23:52.043987,0 days 00:00:02.447239,0.9,2,1.0,1.6274921592125178e-08,1.0724943901634529e-07,80,95,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
100,100,0.5550144747725394,2023-08-24 12:23:49.660313,2023-08-24 12:23:52.653848,0 days 00:00:02.993535,0.9,2,0.9,1.0854369251697937e-08,4.641224922984441e-08,60,100,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
101,101,0.5599601212891361,2023-08-24 12:23:49.939481,2023-08-24 12:23:52.991002,0 days 00:00:03.051521,1.0,2,1.0,8.217952613129412e-08,4.249259357278123e-08,60,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
